no,source_provider,source_clip_id,semantic_unit_id,pose_id,pose_description,action_name_proposed_ko,action_name_proposed_en,confidence,visual_evidence,ambiguity,decision,action_name_final,reviewer_notes
1,CMU,cmu:104_26,pose:cmu_104_26_00785,cmu_104_26_00785,"정적 자세 특징: 상체를 뒤로 젖힘, 양팔을 넓게 벌림, 한쪽 팔을 어깨 위로 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",바닥에 앉아 한팔 뻗기,seated floor reach,low,바닥에 앉아 두 다리를 뻗고 한팔을 위로 든 정적 자세,넘어짐·일어나기·춤 동작 중 어느 순간인지는 단일 프레임으로 구분 불가,,,
2,CMU,cmu:104_31,pose:cmu_104_31_00998,cmu_104_31_00998,"정적 자세 특징: 상체를 세움, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",걷기,walking,medium,교차 보행 자세이며 인접한 CMU 104 trial도 보행 계열,정확한 보행 방향과 회전 여부는 불명,,,
3,CMU,cmu:106_15,pose:cmu_106_15_00998,cmu_106_15_00998,"정적 자세 특징: 상체를 뒤로 젖힘, 양팔을 넓게 벌림, 한쪽 발을 골반 뒤에 둠",쪼그려 앉기,crouching down,medium,양 무릎을 굽히고 엉덩이를 낮추며 양팔을 앞으로 뻗음,의자에 앉는 중인지 스쿼트인지 구분 불가,,,
4,CMU,cmu:107_09,pose:cmu_107_09_00281,cmu_107_09_00281,"정적 자세 특징: 상체를 세움, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",장애물 넘기,stepping over an obstacle,high,CMU subject 107 공식 문맥은 walking with obstacles 1이며 한쪽 무릎을 높게 듦,장애물 높이와 보행 방향은 불명,,,
5,CMU,cmu:108_19,pose:cmu_108_19_00150,cmu_108_19_00150,"정적 자세 특징: 상체를 세움, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",장애물 넘기,stepping over an obstacle,high,CMU subject 108 공식 문맥은 walking with obstacles 2이며 한쪽 발을 들어 전진함,계단·낮은 장애물 등 구체 종류는 불명,,,
6,CMU,cmu:108_20,pose:cmu_108_20_00136,cmu_108_20_00136,"정적 자세 특징: 상체를 세움, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",장애물 넘기,stepping over an obstacle,high,CMU subject 108 공식 문맥과 한발을 들고 양팔로 균형 잡는 자세,정확한 장애물 종류는 불명,,,
7,CMU,cmu:108_21,pose:cmu_108_21_00212,cmu_108_21_00212,"정적 자세 특징: 상체를 뒤로 젖힘, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",장애물을 향해 몸 숙여 내딛기,leaning into an obstacle step,medium,CMU subject 108 공식 문맥이며 상체를 숙이고 한발을 길게 내딛음,넘기 전·후 phase는 구분 불가,,,
8,CMU,cmu:117_01,pose:cmu_117_01_00665,cmu_117_01_00665,"정적 자세 특징: 팔꿈치를 폄, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",낮게 웅크려 옆으로 내딛기,low crouched side step,low,몸을 낮추고 한쪽 무릎을 깊게 굽힌 넓은 자세,춤·회피·런지 중 실제 의도 불명,,,
9,CMU,cmu:117_04,pose:cmu_117_04_00589,cmu_117_04_00589,"정적 자세 특징: 한쪽 팔을 어깨 위로 듦, 팔꿈치를 폄, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",플로어 댄스,floor dance move,medium,한손으로 바닥을 지지하고 낮게 앉아 다른 팔을 위로 뻗음,브레이크댄스의 정확한 기술명은 단일 프레임으로 확정 불가,,,
9,CMU,cmu:117_04,pose:cmu_117_04_02030,cmu_117_04_02030,"정적 자세 특징: 상체를 뒤로 젖힘, 한쪽 팔을 어깨 위로 듦, 팔꿈치를 폄, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",플로어 댄스,floor dance move,medium,같은 source clip에서 바닥에 낮게 앉아 한쪽 다리를 길게 뻗음,정확한 춤 종류와 기술명 불명,,,
10,CMU,cmu:117_05,pose:cmu_117_05_01382_ground,cmu_117_05_01382_ground,정적 자세 특징: 상체를 뒤로 젖힘,네발로 웅크리기,crouching on all fours,medium,양손을 아래로 내리고 무릎을 깊게 굽혀 네발 지지에 가까움,기어가기·착지·일어나기 중 phase 불명,,,
11,CMU,cmu:117_07,pose:cmu_117_07_00590,cmu_117_07_00590,"정적 자세 특징: 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",옆차기,side kick,high,한발로 서고 다른 다리를 옆으로 곧게 차올림,무술 동작인지 춤의 다리 뻗기인지 출처 확인 필요,,,
12,CMU,cmu:117_08,pose:cmu_117_08_00677_ground,cmu_117_08_00677_ground,"정적 자세 특징: 상체를 앞으로 숙임, 팔꿈치를 폄, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",한손 물구나무,one-hand handstand,high,한손으로 바닥을 지지하고 두 다리를 위·옆으로 크게 벌림,플레어 등 구체적인 플로어 기술명은 불명,,,
13,CMU,cmu:117_10,pose:cmu_117_10_00516_ground,cmu_117_10_00516_ground,"정적 자세 특징: 상체를 앞으로 숙임, 한쪽 팔을 어깨 위로 듦, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",한손 지지 플로어 프리즈,one-hand floor freeze,high,몸을 옆으로 눕혀 한팔로 지지하고 다리를 벌림,정확한 브레이크댄스 기술명은 불명,,,
14,CMU,cmu:117_12,pose:cmu_117_12_01268,cmu_117_12_01268,"정적 자세 특징: 상체를 세움, 두 발을 넓게 벌림",옆으로 내딛으며 팔 벌리기,side step with arms open,medium,다리를 넓게 내딛고 양팔을 서로 다른 방향으로 벌림,춤·방어·균형 동작 중 실제 의도 불명,,,
15,CMU,cmu:117_13,pose:cmu_117_13_01149,cmu_117_13_01149,"정적 자세 특징: 상체를 앞으로 숙임, 한쪽 팔을 어깨 위로 듦, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",한손 지지 플로어 프리즈,one-hand floor freeze,high,한손으로 바닥을 짚고 한팔과 한쪽 다리를 위로 듦,구체적인 플로어 기술명은 불명,,,
