no,source_provider,source_clip_id,semantic_unit_id,pose_id,pose_description,action_name_proposed_ko,action_name_proposed_en,confidence,visual_evidence,ambiguity,decision,action_name_final,reviewer_notes
4,CMU,cmu:107_09,pose:cmu_107_09_00281,cmu_107_09_00281,"정적 자세 특징: 상체를 세움, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",장애물 넘기,stepping over an obstacle,high,CMU subject 107 공식 문맥은 walking with obstacles 1이며 한쪽 무릎을 높게 듦,장애물 높이와 보행 방향은 불명,,,
5,CMU,cmu:108_19,pose:cmu_108_19_00150,cmu_108_19_00150,"정적 자세 특징: 상체를 세움, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",장애물 넘기,stepping over an obstacle,high,CMU subject 108 공식 문맥은 walking with obstacles 2이며 한쪽 발을 들어 전진함,계단·낮은 장애물 등 구체 종류는 불명,,,
6,CMU,cmu:108_20,pose:cmu_108_20_00136,cmu_108_20_00136,"정적 자세 특징: 상체를 세움, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",장애물 넘기,stepping over an obstacle,high,CMU subject 108 공식 문맥과 한발을 들고 양팔로 균형 잡는 자세,정확한 장애물 종류는 불명,,,
11,CMU,cmu:117_07,pose:cmu_117_07_00590,cmu_117_07_00590,"정적 자세 특징: 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",옆차기,side kick,high,한발로 서고 다른 다리를 옆으로 곧게 차올림,무술 동작인지 춤의 다리 뻗기인지 출처 확인 필요,,,
12,CMU,cmu:117_08,pose:cmu_117_08_00677_ground,cmu_117_08_00677_ground,"정적 자세 특징: 상체를 앞으로 숙임, 팔꿈치를 폄, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",한손 물구나무,one-hand handstand,high,한손으로 바닥을 지지하고 두 다리를 위·옆으로 크게 벌림,플레어 등 구체적인 플로어 기술명은 불명,,,
13,CMU,cmu:117_10,pose:cmu_117_10_00516_ground,cmu_117_10_00516_ground,"정적 자세 특징: 상체를 앞으로 숙임, 한쪽 팔을 어깨 위로 듦, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",한손 지지 플로어 프리즈,one-hand floor freeze,high,몸을 옆으로 눕혀 한팔로 지지하고 다리를 벌림,정확한 브레이크댄스 기술명은 불명,,,
15,CMU,cmu:117_13,pose:cmu_117_13_01149,cmu_117_13_01149,"정적 자세 특징: 상체를 앞으로 숙임, 한쪽 팔을 어깨 위로 듦, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",한손 지지 플로어 프리즈,one-hand floor freeze,high,한손으로 바닥을 짚고 한팔과 한쪽 다리를 위로 듦,구체적인 플로어 기술명은 불명,,,
17,CMU,cmu:117_15,pose:cmu_117_15_00713,cmu_117_15_00713,"정적 자세 특징: 상체를 앞으로 숙임, 양팔을 넓게 벌림, 팔꿈치를 폄, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",상체 숙여 한쪽 다리 뒤로 뻗기,forward lean with one leg extended back,high,한발로 지지하며 상체를 앞으로 숙이고 반대 다리를 뒤로 길게 뻗음,아라베스크·달리기·균형 동작 중 실제 의도 불명,,,
20,CMU,cmu:121_14,pose:cmu_121_14_00472,cmu_121_14_00472,"정적 자세 특징: 상체를 뒤로 젖힘, 팔꿈치를 폄",똑바로 서 있기,standing upright,high,양발을 모으고 양팔을 자연스럽게 내려 정면으로 섬,동작 시작·종료의 중립 자세일 수 있음,,,
21,CMU,cmu:121_15,pose:cmu_121_15_00457_ground,cmu_121_15_00457_ground,정적 자세 특징: 상체를 뒤로 젖힘,허리 숙여 양팔 내리기,forward bend with arms hanging,high,상체를 깊게 숙이고 양팔을 아래로 늘어뜨림,절하기·스트레칭·물건 집기 중 의도 불명,,,
