no,source_provider,source_clip_id,semantic_unit_id,pose_id,pose_description,action_name_proposed_ko,action_name_proposed_en,confidence,visual_evidence,ambiguity,decision,action_name_final,reviewer_notes
2,CMU,cmu:104_31,pose:cmu_104_31_00998,cmu_104_31_00998,"정적 자세 특징: 상체를 세움, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",걷기,walking,medium,교차 보행 자세이며 인접한 CMU 104 trial도 보행 계열,정확한 보행 방향과 회전 여부는 불명,,,
3,CMU,cmu:106_15,pose:cmu_106_15_00998,cmu_106_15_00998,"정적 자세 특징: 상체를 뒤로 젖힘, 양팔을 넓게 벌림, 한쪽 발을 골반 뒤에 둠",쪼그려 앉기,crouching down,medium,양 무릎을 굽히고 엉덩이를 낮추며 양팔을 앞으로 뻗음,의자에 앉는 중인지 스쿼트인지 구분 불가,,,
7,CMU,cmu:108_21,pose:cmu_108_21_00212,cmu_108_21_00212,"정적 자세 특징: 상체를 뒤로 젖힘, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",장애물을 향해 몸 숙여 내딛기,leaning into an obstacle step,medium,CMU subject 108 공식 문맥이며 상체를 숙이고 한발을 길게 내딛음,넘기 전·후 phase는 구분 불가,,,
9,CMU,cmu:117_04,pose:cmu_117_04_00589,cmu_117_04_00589,"정적 자세 특징: 한쪽 팔을 어깨 위로 듦, 팔꿈치를 폄, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",플로어 댄스,floor dance move,medium,한손으로 바닥을 지지하고 낮게 앉아 다른 팔을 위로 뻗음,브레이크댄스의 정확한 기술명은 단일 프레임으로 확정 불가,,,
9,CMU,cmu:117_04,pose:cmu_117_04_02030,cmu_117_04_02030,"정적 자세 특징: 상체를 뒤로 젖힘, 한쪽 팔을 어깨 위로 듦, 팔꿈치를 폄, 한쪽 발을 골반 뒤에 둠, 두 발을 넓게 벌림",플로어 댄스,floor dance move,medium,같은 source clip에서 바닥에 낮게 앉아 한쪽 다리를 길게 뻗음,정확한 춤 종류와 기술명 불명,,,
10,CMU,cmu:117_05,pose:cmu_117_05_01382_ground,cmu_117_05_01382_ground,정적 자세 특징: 상체를 뒤로 젖힘,네발로 웅크리기,crouching on all fours,medium,양손을 아래로 내리고 무릎을 깊게 굽혀 네발 지지에 가까움,기어가기·착지·일어나기 중 phase 불명,,,
14,CMU,cmu:117_12,pose:cmu_117_12_01268,cmu_117_12_01268,"정적 자세 특징: 상체를 세움, 두 발을 넓게 벌림",옆으로 내딛으며 팔 벌리기,side step with arms open,medium,다리를 넓게 내딛고 양팔을 서로 다른 방향으로 벌림,춤·방어·균형 동작 중 실제 의도 불명,,,
16,CMU,cmu:117_14,pose:cmu_117_14_01598,cmu_117_14_01598,"정적 자세 특징: 상체를 뒤로 젖힘, 양팔을 넓게 벌림, 팔꿈치를 폄",바닥에 앉아 양손 지지하기,seated floor support,medium,몸을 낮게 앉히고 양손으로 바닥을 지지함,일어나기·착지·플로어 댄스 phase 불명,,,
18,CMU,cmu:121_02,pose:cmu_121_02_00360,cmu_121_02_00360,"정적 자세 특징: 상체를 뒤로 젖힘, 한쪽 팔을 어깨 위로 듦, 팔꿈치를 폄, 두 발을 넓게 벌림",한팔 올린 춤 동작,dance pose with one arm raised,medium,교차 스텝에 한팔을 위로 뻗은 연출성 자세,춤 종류와 동작 phase 불명,,,
19,CMU,cmu:121_07,pose:cmu_121_07_00711,cmu_121_07_00711,"정적 자세 특징: 상체를 앞으로 숙임, 한쪽 팔을 어깨 위로 듦, 팔꿈치를 폄, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠",한발 균형 춤 동작,one-leg balance dance pose,medium,한발로 서서 반대 무릎을 높이고 한팔을 위로 뻗음,춤·체조·균형 훈련 중 실제 의도 불명,,,
19,CMU,cmu:121_07,pose:cmu_121_07_00757,cmu_121_07_00757,"정적 자세 특징: 상체를 뒤로 젖힘, 한쪽 팔을 어깨 위로 듦, 팔꿈치를 폄, 두 발을 넓게 벌림",낮게 앉아 한팔 뻗는 춤 동작,low dance pose with one arm extended,medium,같은 source clip에서 몸을 낮추고 한팔을 대각선 위로 뻗음,춤 종류와 연결 동작 불명,,,
23,CMU,cmu:121_25,pose:cmu_121_25_00908,cmu_121_25_00908,정적 자세 특징: 한쪽 팔을 어깨 위로 듦,한팔 머리 위로 올리는 춤 동작,dance pose with one arm overhead,medium,한팔을 머리 위로 굽혀 올리고 다른 팔을 몸 앞에 둠,춤 종류와 손 제스처 불명,,,
26,CMU,cmu:121_30,pose:cmu_121_30_00955,cmu_121_30_00955,"정적 자세 특징: 한쪽 팔을 어깨 위로 듦, 한쪽 다리를 듦, 한쪽 발을 골반 뒤에 둠",바닥에 앉아 팔 앞으로 모으기,seated floor pose with arms forward,medium,바닥에 앉아 한쪽 다리를 뻗고 양팔을 몸 앞으로 모음,춤·스트레칭·넘어짐 후 자세 중 의도 불명,,,
